pid,name,user,cpu_percent,memory_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,System Idle Process,NT AUTHORITY\SYSTEM,1108.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5464,svchost.exe,N/A,0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5476,svchost.exe,N/A,0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5608,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,0,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5908,steamservice.exe,N/A,0,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6128,NVIDIA Overlay.exe,DESKTOP-4B1OM9L\Gaming,0,83.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6164,svchost.exe,N/A,0,26.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,conhost.exe,DESKTOP-4B1OM9L\Gaming,0,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,LSB.exe,DESKTOP-4B1OM9L\Gaming,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6312,svchost.exe,N/A,0,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6404,DAX3API.exe,N/A,0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6412,AggregatorHost.exe,N/A,0,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6440,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,0,185.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6560,dllhost.exe,DESKTOP-4B1OM9L\Gaming,0,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6808,sihost.exe,DESKTOP-4B1OM9L\Gaming,0,50.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6936,LenovoVantage-(MultimediaAddin).exe,DESKTOP-4B1OM9L\Gaming,0,73.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6944,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6968,Code.exe,DESKTOP-4B1OM9L\Gaming,0,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976,SearchHost.exe,DESKTOP-4B1OM9L\Gaming,0,234.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7140,taskhostw.exe,DESKTOP-4B1OM9L\Gaming,0,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7188,svchost.exe,N/A,0,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7248,nvcontainer.exe,N/A,0,62.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7292,svchost.exe,N/A,0,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7416,nvcontainer.exe,DESKTOP-4B1OM9L\Gaming,0,35.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484,nvcontainer.exe,DESKTOP-4B1OM9L\Gaming,0,105.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,svchost.exe,N/A,0,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7892,WidgetService.exe,DESKTOP-4B1OM9L\Gaming,0,27.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8060,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8152,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,27.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8644,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,RuntimeBroker.exe,DESKTOP-4B1OM9L\Gaming,0,45.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8920,nvsphelper64.exe,DESKTOP-4B1OM9L\Gaming,0,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9064,Widgets.exe,DESKTOP-4B1OM9L\Gaming,0,64.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
